# Phase B run log — новая машина (RTX 2060 Super, Win10, Py3.11.9)
# формат: TIMESTAMP | шаг | статус | числа/примечание

2026-07-22T18:31 | STAGE0 orient | OK | ветка full-corpus == origin/full-corpus (053d381); git синхронен
2026-07-22T18:50 | FULL embed cuda | RUNNING | 36366 пассажей, batch 32, steady ~55-69 пасс/с, БЕЗ OOM. Прогресс инкрементальный (memmap+progress.json), resume-able. ETA ~10-11 мин суммарно. embed_kit/out/{vectors.npy,ids.jsonl}.
2026-07-22T18:50 | NEW-LAW eval prep | OK | 10 запросов по новым законам, у каждого ровно 1 эталонная статья (граница/страхование/банки/автотранспорт/ГЗ-112/госимущество/банкротство/исполнит.пр-во/ж-д/ценные бумаги). Скрипт scripts/vector/phase_b_newlaw_eval.py. embedder указан на локальную embed_kit/model (те же веса, офлайн).
2026-07-22T18:58 | FULL embed cuda | OK | 36366/36366 векторов за 514с = 71 пасс/с (реальный full-замер на 2060 Super; быстрее консерв. оценки 5090=40). vectors.npy (36366,1024) f32 L2≈1.0, ids.jsonl 36366 выравнены. Без OOM на batch 32.
2026-07-22T19:02 | BLOCK E index | OK | g_build_index --from-vectors: 36366 векторов, dim 1024, uid-сверка с chunks OK. index.faiss + index_meta.jsonl + index_config.json. embedded_on исправлен на "RTX 2060 SUPER (sm_75, fp16)/embed_kit".
2026-07-22T19:02 | BLOCK E repealed=0 | OK(verified) | независимо: repealed uid в корпусе 504, пересечение rep∩index = 0 (цель 0). src в индексе: article 14061 + summary 665 + subchunk 21640, repealed 0. faiss ntotal 36366.
2026-07-22T19:03 | BLOCK E eval 28q (June-set) | OK | НОВЫЙ e5 full-corpus: hit@1 17/28 (61%), hit@3 24/28 (86%). База (июнь, MiniLM-384 delivered): 61%/82%. ДЕЛЬТА: hit@1 = (флэт 61%), hit@3 +4pp (82%→86%) — ПРИ 6× большем индексе (43→286 док). Часть новых промахов = новые законы как топ-дистракторы (Z990000353_ vs upk, Z1600000011 vs УК-мошенничество) — честный трейд-офф единого индекса. Прежний e5-на-43 эксперимент был 68%/89% (без новых дистракторов).
2026-07-22T19:03 | BLOCK E eval 10 new-law (small-to-big) | OK | hit@1 8/10 (80%), hit@3 9/10 (90%). Показан резолв пассаж(subchunk/article)→родительская статья→полный текст. 1 промах (банки «правовой статус ... второго уровня» → сабчанк ст.132 Переходные положения); «преднамеренное банкротство» top-1 = koap/182 (релевантный cross-code, но gt ограничен целевым законом) → hit@3. reports/phase_b_newlaw_eval.md.
2026-07-23T (ключ получен от владельца) | BLOCK C summary | RUNNING | c_summarize --all --min-body 5030 (цель ~671 крупных, НЕ 5303). Ключ валиден (summary 665→674 за ~30с, ~3.3с/статья). Ключ только в env сессии, в файлы/логи не пишется. resume-capable. ETA ~35 мин. Далее: удалить embed_kit/out (N меняется) → ре-эмбед → ре-индекс → эвалы.
2026-07-23 | BLOCK C summary | OK | 664 новых summary записаны (итого 1329 = 665 старых + 664 новых); крупных без summary = 0. Прогон падал 1× на os.replace (WinError 5, Windows-лок) — chunks.jsonl остался цел (атомарно, 42175 строк, 0 битых JSON), добавил ретрай в save(); 1 статья (Z2600000290 ст.78) упала на ConnectTimeout — досняли отдельным idempotent-прогоном. Ключ только в env сессии, в файлы/логи не писался.
2026-07-23 | BLOCK D re-embed | RUNNING | N вырос 36366→37030 (+664 summary-пассажа: 14061 article + 1329 summary + 21640 subchunk). Удалил embed_kit/out (memmap привязан к старому N), ре-эмбед на 2060 Super, batch 32. ETA ~9 мин.
2026-07-23 | BLOCK D re-embed | OK | 37030/37030 векторов за 442с = 84 пасс/с (GPU прогрет). vectors.npy (37030,1024) f32 L2≈1.0, ids 37030.
2026-07-23 | BLOCK E re-index | OK | g_build_index --from-vectors: 37030 векторов, uid-сверка OK, repealed∩index=0 (проверено). src: article 14061 + summary 1329 + subchunk 21640. faiss ntotal 37030.
2026-07-23 | BLOCK E re-eval | OK | 28q (июнь-набор): hit@1 17/28 (61%), hit@3 24/28 (86%) — стабильно (=до досбора summary). 10 новых законов: 8/10 (80%), 9/10 (90%). Досбор summary дал крупноблочные пассажи, но эти запросы уже резолвились через сабчанки → метрики не сдвинулись. repealed_uniformity: сноски 504, в индексе 0.
2026-07-23 | BLOCK C validate | OK | d_validate: 1329 прогнано, 958 прошло, 371 с замечаниями, заземлённость 90.9%. Замечания — ложные срабатывания эвристики (числа словом-vs-цифрой: спот-чек nalog/178 «тридцат»∈текст=True/«30»=False; заглавные в начале предложения; 6 предложений). Не галлюцинации.
2026-07-23 | PACKAGE | OK | deliverables/vector_layer_phaseB обновлён (отчёты + index_config). WAITING_ON_HUMANS: BLOCK C помечен закрытым.
