original,article,anchor,link,context
пунктом 6 статьи 245,245,z514,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z514"">пунктом 6 статьи 245</a>","5. Лицо, задержавшее безнадзорный или пригульный скот и других домашних или прирученных животных"
пунктом 1 настоящей статьи,247_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1488"">пунктом 1</a> настоящей статьи","2. В случае обнаружения клада, содержащего вещи, относящиеся к культурным ценностям, они подлежа"
статьями 249-257,249,z523,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z523"">статьями 249-257</a>","Вещные права, принадлежащие несобственнику, прекращаются по правилам, установленным статьями 249"
пункте 1 настоящей статьи,261_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1508"">пункте 1</a> настоящей статьи","3. Истребование имущества по основаниям, указанным в пункте 1 настоящей статьи, не допускается,"
"статей 260, 261",260,z870,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z870"">статей 260</a>, <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z544"">261</a>","1. Истребуя имущество на основании статей 260, 261 настоящего Кодекса, собственник вправе также"
статьями 259-264,259,z869,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z869"">статьями 259-264</a>","Права, предусмотренные статьями 259-264 настоящего Кодекса, принадлежат также лицу, хотя и не яв"
статья 127,127,z275,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z275"">статья 127</a>",Денежные обязательства на территории Республики Казахстан должны быть выражены в тенге (статья 1
пункте 1 настоящей статьи,291_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1562"">пункте 1</a> настоящей статьи","3. Особенности исполнения отдельных обязательств на рынке ценных бумаг, которые не могут быть ис"
части первой,299_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1573"">части первой</a>","Требования части первой настоящего пункта распространяются также и на строящиеся морские суда, с"
статьи 116,116,z253,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z253"">статьи 116</a>","статьи 116 настоящего Кодекса), требований, неразрывно связанных с личностью кредитора, в частности"
статьи 327,327,z686,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z686"">статьи 327</a>",статьи 327 настоящего Кодекса.
пункте 1 настоящей статьи,312_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1610"">пункте 1</a> настоящей статьи","3. При грубом нарушении залогодержателем обязанностей, указанных в пункте 1 настоящей статьи, со"
статья 320,320,z672,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z672"">статья 320</a>",Перед началом торгов суд или доверенное лицо (статья 320 настоящего Кодекса) вправе потребовать
пунктом 2 статьи 314,314,z660,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z660"">пунктом 2 статьи 314</a>","статьи 313 настоящего Кодекса), если залогодатель не воспользовался правом, предусмотренным пунктом"
статьи 313,313,z658,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z658"">статьи 313</a>","статьи 313 настоящего Кодекса), если залогодатель не воспользовался правом, предусмотренным пунктом"
статьи 312,312,z656,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z656"">статьи 312</a>",статьи 312 настоящего Кодекса;
статьи 315,315,z662,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z662"">статьи 315</a>",статьи 315 настоящего Кодекса);
статьи 312,312,z656,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z656"">статьи 312</a>",статьи 312 настоящего Кодекса;
статьи 314,314,z660,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z660"">статьи 314</a>",статьи 314 настоящего Кодекса;
пункт 3 статьи 312,312,z656,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z656"">пункт 3 статьи 312</a>",3. При прекращении залога вследствие исполнения обеспеченного залогом обязательства либо по треб
статьи 321,321,z674,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z674"">статьи 321</a>",статьи 321 настоящего Кодекса).
пунктами 1 и 2 настоящей статьи,334_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1702"">пунктами 1</a> и <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1703"">2</a> настоящей статьи","3. Правила, установленные пунктами 1 и 2 настоящей статьи, применяются, если иное не установлено"
пункте 1 настоящей статьи,338-6_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z8363"">пункте 1</a> настоящей статьи","2. В случае ненаступления в предусмотренный договором срок обстоятельств, указанных в пункте 1 н"
статьи 132,132,z286,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z286"">статьи 132</a>",статьи 132 настоящего Кодекса).
пунктах 1 и 2 статьи 346,346,z727,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z727"">пунктах 1 и 2 статьи 346</a>","3. К форме перевода долга соответственно применяются правила, содержащиеся в пунктах 1 и 2 стать"
статьей 351,351,z740,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z740"">статьей 351</a>","статьи 9 настоящего Кодекса). Возмещение убытков в обязательствах, обеспеченных неустойкой, определ"
статьи 9,9,z20,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z20"">статьи 9</a>","статьи 9 настоящего Кодекса). Возмещение убытков в обязательствах, обеспеченных неустойкой, определ"
статьей 350,350,z738,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z738"">статьей 350</a>","Моральный ущерб, причиненный нарушением обязательства, возмещается сверх убытков, предусмотренны"
пункта 1 настоящей статьи,353_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1742"">пункта 1</a> настоящей статьи","3. Если убытки, причиненные кредитору неправомерным пользованием его деньгами, превышают сумму н"
статьи 359,359,z755,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z755"">статьи 359</a>",статьи 359 настоящего Кодекса).
пункта 1 настоящей статьи,364_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1765"">пункта 1</a> настоящей статьи","2. Правила пункта 1 настоящей статьи соответственно применяются и в случаях, когда должник в сил"
статья 366,366,z770,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z770"">статья 366</a>","3. Должник не считается просрочившим, пока обязательство не может быть исполнено вследствие прос"
статьи 399,399,z840,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z840"">статьи 399</a>",статьи 399 настоящего Кодекса.
пункте 2 настоящей статьи,389_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1824"">пункте 2</a> настоящей статьи","3. При наличии обстоятельств, предусмотренных в пункте 2 настоящей статьи, требование о расторже"
статьи 396,396,z835,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z835"">статьи 396</a>",статьи 396 настоящего Кодекса.
пунктах 2 и 3 статьи 399,399,z840,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z840"">пунктах 2 и 3 статьи 399</a>","В случаях, предусмотренных в пунктах 2 и 3 статьи 399 настоящего Кодекса, а также если разноглас"
статья 404,404,z63,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z63"">статья 404</a>",3. Договор считается измененным или расторгнутым в случае одностороннего отказа от исполнения до
